sector,code,region,nondis,estab,employ,wage,bea.comp.st,bea.earn.st,bea.empl.st,gdp.comp.st,us.comp.gdp.ratio,us.comp.out.ratio,st.output,st.gdp.est,gdp,taxsub.est,taxsub.st,surplus.est,surplus.st,check,output,jobs.1000output.ratio,earn.output.ratio,comp.output.ratio,valueadded.output.ratio,taxsub.output.ratio,surplus.output.ratio,Code,st.total.dem,rpc
1,1111A0,34000,0,9,37,976339,1320573.482,1920169.16,79.7069642,1004416.822,0.009787196,0.005087515,197427801.9,102625597.7,88138355.27,2983582.647,6016132.828,84284231.27,76450825.91,0,197427801.9,0.000403727,0.009725931,0.006688893,0.446433351,0.030472572,0.387234347,1111A0,329071864.1,0.847774748
2,1111B0,34000,0,12,36,1272910,1721708.537,2503436.333,77.55272192,1309516.691,0.120702092,0.015698047,83419082.68,10849163.18,9317630.503,0,0,8192973.01,7431515.288,0,83419082.68,0.000929676,0.030010356,0.020639265,0.111696631,0,0.089086514,1111B0,1201888495,0.518079029
3,111200,34000,0,170,2452,62095897,83989469.79,122124207.3,5282.20206,63881667.65,0.241591928,0.16118175,396333130.6,264419710.2,227092644.4,2691360.616,5426892.723,169537533.9,153780657.4,0,396333130.6,0.013327682,0.308135247,0.211916348,0.572984257,0.013692756,0.388008585,111200,570585938,0.87112911
4,111300,34000,0,85,1625,46064985,62306430.1,90596159.3,3500.643698,47389734.34,0.348091724,0.232522394,203807184.3,136141514,116922964.6,2681166.134,5406336.443,73551159.54,66715289.54,0,203807184.3,0.017176253,0.444518968,0.305712629,0.573694029,0.026526722,0.327345131,111300,710691383.1,0.762860507
5,111400,34000,0,256,2853,89063774,120465594.6,175162020.7,6146.053212,91625094.18,0.477863154,0.281192809,325844372.1,191739190.2,164672140.8,1551521.268,3128506.61,84429870.93,76582929.77,0,325844372.1,0.018861928,0.537563437,0.369702855,0.505370523,0.00960123,0.235029162,111400,521325637.6,0.861255582
6,111900,34000,0,84,781,24566901,33228620.39,48315805.95,1682.463217,25273402.6,0.442612137,0.22761194,111037244.2,57100563.86,49039907.18,683933.8732,1379092.693,26650315.18,24173425.75,0,111037244.2,0.015152242,0.43513153,0.29925653,0.441652776,0.012420091,0.217705563,111900,575492371.4,0.686090777
7,1121A0,34000,0,5,16,595423,805355.3372,1171020.396,34.46787641,612546.3362,0.063838026,0.020840105,29392669.69,9595320.727,8240787.937,1252734.704,2526029.7,6461977.596,5861399.182,0,29392669.69,0.001172669,0.039840559,0.02739987,0.280368814,0.085940805,0.19941704,1121A0,541743922.2,0.433916294
8,112120,34000,0,15,64,3096783,4188636.847,6090453.432,137.8715056,3185841.126,0.152014793,0.054570599,58380175.32,20957441.44,17998963.82,388297.2394,782967.3401,14874557.82,13492111.32,0,58380175.32,0.002361615,0.104324,0.071747589,0.308306094,0.013411528,0.231107756,112120,728493829.6,0.563321303
9,112A00,34000,2,43,155,4381473,5926278.739,8617057.53,333.9075527,4507476.589,0.108124731,0.074371774,60607355.87,41687748.5,35802856.91,874207.1586,1762762.091,31059677.51,28172980.43,0,60607355.87,0.005509357,0.142178411,0.097781509,0.590734514,0.029084953,0.464844243,112A00,412241638.8,0.66480243
10,112300,34000,0,7,137,5064653,6850332.158,9960669.909,295.1311918,5210303.665,0.19648878,0.050279662,103626465.6,26517054.33,22773748.55,283314.8581,571279.5723,18012999.81,16338865.43,0,103626465.6,0.002848029,0.096120907,0.06610601,0.219767686,0.005512873,0.157670778,112300,330321924.7,0.615488515
11,113000,34000,0,12,36,1737089,2338000,7365000,99.90971541,3712748.172,0.501448715,0.27217446,13641060.12,7404043.638,7725110.54,340967.3089,245780.2597,3509650.375,3864356.574,0,13641060.12,0.00732419,0.539914049,0.171394304,0.566313063,0.01801768,0.283288582,113000,54836487.05,0.809003912
12,114000,34000,0,48,205,8728122,12066000,48535000,568.9303238,18654956.08,0.190416141,0.13132338,142053578.3,97969405.1,102217723.3,13212253.01,9523819.121,69541565.85,76569851.27,0,142053578.3,0.00400504,0.34166686,0.084939782,0.719571619,0.067043852,0.539020925,114000,188954205.1,0.808754804
13,115000,34000,0,214,1797,51293825,89896000,87381000,4987.159961,109632295.8,0.777836016,0.562060383,195054302.1,140945255.1,147057166.2,3094201.699,2230400.62,29576604.14,32565792.16,0,195054302.1,0.025568059,0.447982941,0.460876787,0.753929365,0.011434768,0.166957569,115000,146588765.5,0.92160716
14,211000,34000,0,6,35,4335347,5415000,300300000,131.1570561,6.00E+06,0.109957718,0.076873042,78050768.62,54566428.92,2.70E+07,3554265.227,4.00E+06,20476876.39,1.70E+07,0,78050768.62,0.001680407,3.847495743,0.06937792,0.345928688,0.051248695,0.217806952,211000,9087692569,0.078540461
15,212100,34000,0,0,0,0,0,0,0,0,0.30165049,0.157060015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212100,461894206,0
16,2122A0,34000,0,0,0,0,0,0,0,0,0.246859129,0.133453757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122A0,463431015.8,0
17,212230,34000,0,0,0,0,0,0,0,0,0.154539839,0.09722546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212230,333905188.8,0
18,212310,34000,0,24,574,45659412,56966345.95,84043252.1,2150.975721,53828395.18,0.281605351,0.176519916,304942333.8,191148339.2,181055294.9,5525516.943,10998788.54,124558776.5,115485007.3,0,304942333.8,0.007053713,0.275603755,0.186810225,0.593736175,0.036068421,0.378710971,212310,358698424.9,0.944286308
19,2123A0,34000,0,33,489,28985731,36163654.05,53352747.9,1832.451442,34171604.82,0.355900549,0.205167889,166554352,96014476.37,90944705.08,3014858.906,6001211.457,55562575.75,51514992.73,0,166554352,0.011002123,0.320332356,0.217128244,0.546036198,0.03603155,0.309298389,2123A0,350687912.5,0.872508427
